"Name","Env","R","G","B","GreenExcess","H","W","Aspect","Kind"
"edml0101","01_Highlands","94","92","83","3.1","0.93","3","0.31","rock"
"edms0103","01_Highlands","106","96","81","2.6","0.06","0.25","0.24","rock"
"edbs0116","01_Highlands","93","77","68","-3.3","0.19","2.05","0.09","rock"
"edbs0110","01_Highlands","86","66","48","-1","0.34","0.47","0.71","rock"
"edmm0202","02_Evergreen","93","82","57","6.3","0.69","1.2","0.58","foliage"
"edml0201","02_Evergreen","89","82","55","9.4","0.94","2.39","0.4","foliage"
"edmm0203","02_Evergreen","71","64","41","7.6","0.32","0.81","0.4","foliage"
"edbs0113","01_Highlands","68","56","42","0.8","0.19","0.57","0.34","rock"
"edmm0113","01_Highlands","80","68","53","1.9","0.83","1.4","0.59","rock"
"edbm0121","01_Highlands","69","70","47","12.1","2.56","1.13","2.27","foliage"
"edms0104","01_Highlands","115","110","98","3.1","0.03","0.2","0.16","rock"
"edms0105","01_Highlands","115","107","92","3.5","0.03","0.17","0.17","rock"
"edbm0161","01_Highlands","78","66","55","-0.5","2.56","0.62","4.15","rock"
"edbs0114","01_Highlands","74","62","49","1","0.08","0.55","0.15","rock"
"edmm0104","01_Highlands","97","92","81","2.6","0.67","1.44","0.47","rock"
"edmm0107","01_Highlands","109","101","86","3.1","0.49","1.28","0.39","rock"
"edms0101","01_Highlands","96","88","77","1.9","0.27","0.75","0.37","rock"
"edml0111","01_Highlands","78","60","42","-0.1","1.02","2.94","0.35","rock"
"edmm0112","01_Highlands","80","64","48","-0.1","0.77","1.97","0.39","rock"
"edmm0101","01_Highlands","84","79","64","4.2","0.84","2.62","0.32","rock"
"edms0111","01_Highlands","75","56","42","-2.5","0.25","0.44","0.55","rock"
"edmm0103","01_Highlands","87","83","72","2.9","1.32","2.1","0.62","rock"
"edms0112","01_Highlands","96","75","53","0.4","0.13","0.46","0.29","rock"
"edbm0141","01_Highlands","72","71","52","8.5","2.4","2.14","1.12","foliage"
"edmm0111","01_Highlands","77","59","46","-2.2","0.84","1.86","0.45","rock"
"edmm0110","01_Highlands","71","54","41","-1.2","0.45","0.95","0.48","rock"
"edbs0111","01_Highlands","84","69","53","0.9","0.35","0.16","2.22","rock"
"edml0102","01_Highlands","88","83","75","1.6","1.76","2.87","0.61","rock"
"edmm0108","01_Highlands","101","90","75","2","0.64","1.61","0.39","rock"
"edms0102","01_Highlands","110","96","79","1.6","0.09","0.23","0.4","rock"
"edms0110","01_Highlands","64","47","33","-1.2","0.2","0.38","0.51","rock"
"edmm0106","01_Highlands","98","91","76","4.1","0.58","1.23","0.47","rock"
"edbs0112","01_Highlands","90","72","53","-0.3","0.09","1.29","0.07","rock"
"edbm0101","01_Highlands","109","103","78","9.9","1.73","0.69","2.5","foliage"
"edbs0115","01_Highlands","90","73","46","5.4","0.18","0.84","0.22","rock"
"edmm0204","02_Evergreen","86","80","61","6.5","0.43","0.7","0.61","foliage"
"edmm0201","02_Evergreen","83","76","54","7.4","0.56","1.46","0.39","foliage"
"edmm0105","01_Highlands","111","105","90","4.5","0.62","1.48","0.42","rock"
"edmm0102","01_Highlands","82","79","72","2.6","0.94","2.39","0.4","rock"
