"Texture","Instances"
"/env/common/decals/erosion018_normals.dds","13582"
"/env/evergreen/decals/e_mud005_albedo.dds","13555"
"/env/common/decals/erosion018d_normals.dds","10470"
"/env/common/decals/erosion017_normals.dds","10392"
"/env/common/decals/erosion018b_normals.dds","7736"
"/env/red barrens/decals/rb_rockground2_albedo.dds","5706"
"/env/common/decals/erosion_normals.dds","5664"
"/env/red barrens/decals/rb_cliff02_albedo.dds","5271"
"/env/red barrens/decals/rb_rockground_albedo.dds","4299"
"/env/common/decals/mud003_normals.dds","4231"
"/env/evergreen2/decals/eg_boulder009_albedo.dds","4067"
"/env/common/decals/erosion018c_normals.dds","4016"
"/env/common/decals/fractal_normals.dds","3556"
"/env/red barrens/decals/rb_cliff01_albedo.dds","3356"
"/env/geothermal/decals/ashedge03_normals.dds","3292"
"/env/evergreen2/decals/eg_scatterstones001_albedo.dds","3182"
"/env/geothermal/decals/ashedge01_normals.dds","3161"
"/env/common/decals/rock013_normals.dds","2973"
"/env/desert/decals/des_rock03_albedo.dds","2845"
"/env/evergreen2/decals/eg_mudder03_albedo.dds","2781"
"/env/common/decals/erosion018e_normals.dds","2653"
"/env/common/decals/rock012_normals.dds","2647"
"/env/red barrens/decals/rb_rockground_normals.dds","2587"
"/env/evergreen2/decals/eg_boulder008_albedo.dds","2582"
"/env/evergreen2/decals/eg_ground001_albedo.dds","2552"
"/env/evergreen2/decals/eg_ground002_albedo.dds","2528"
"/env/common/decals/erosion018a_normals.dds","2516"
"/env/common/decals/noise002_normals.dds","2492"
"/env/tropical/decals/trrawground04_albedo.dds","2164"
"/env/geothermal/decals/gt_cliff02_normals.dds","2133"
"/env/common/decals/int003_normals.dds","2047"
"/env/geothermal/decals/gt_cliff04_normals.dds","2035"
"/env/desert/decals/des_rock04_albedo.dds","1969"
"/env/common/decals/erosion021a_normals.dds","1884"
"/env/red barrens/decals/sandprint_albedo.dds","1790"
"/env/geothermal/decals/gt_cliff01_normals.dds","1712"
"/env/common/decals/tidemark05_normals.dds","1683"
"/env/geothermal/decals/ashedge02_normals.dds","1667"
"/env/common/decals/cliff04_normals.dds","1661"
"/env/desert/decals/des_rock01_albedo.dds","1658"
"/env/common/decals/tidemark01_normals.dds","1639"
"/env/tropical/decals/trrockage002_albedo.dds","1549"
"/env/evergreen/decals/e_mud006_albedo.dds","1540"
"/env/common/decals/rock009_normals.dds","1534"
"/env/common/decals/erosion012_normals.dds","1482"
"/env/evergreen2/decals/eg_scatterstones004_albedo.dds","1472"
"/env/common/decals/cliff05_normals.dds","1422"
"/env/common/decals/erosion021_normals.dds","1413"
"/env/common/decals/erosion016_normals.dds","1397"
"/env/evergreen2/decals/eg_scatterstones002_albedo.dds","1380"
"/env/common/decals/erosion020_normals.dds","1379"
"/env/tundra/decals/tund_sandpatch_02_albedo.dds","1322"
"/env/common/decals/tidemark06_normals.dds","1242"
"/env/common/decals/erosion014_normals.dds","1211"
"/env/common/decals/rock007_normals.dds","1201"
"/env/common/decals/tidemark02_normals.dds","1199"
"/env/geothermal/decals/gt_cliff03_normals.dds","1197"
"/env/common/decals/altashore003_normals.dds","1193"
"/env/desert/decals/des_rockground3_albedo.dds","1172"
"/env/common/decals/erosion007_normals.dds","1152"
"/env/swamp/decals/cliffy004_normals.dds","1145"
"/env/common/decals/peaks006_normals.dds","1119"
"/env/red barrens/decals/rb_rockground2_normals.dds","1115"
"/env/evergreen2/decals/eg_patchdry001_albedo.dds","1083"
"/env/common/decals/river003_normals.dds","1054"
"/env/evergreen/decals/e_dl002_albedo.dds","1045"
