"Stem","Role","Family","Maps","Luma","Std","StdC","R","G","B","Format","Size","Path"
"lav_cracked02","crack","lava","9","29.3","8.5","3.6","31.6","27.5","32.4","DXT1","512x512","/env/lava/layers/lav_cracked02_albedo.dds"
"lav_cracked","crack","lava","3","29.4","8.5","3.6","31.6","27.6","32.5","DXT5","512x512","/env/lava/layers/lav_cracked_albedo.dds"
"lav_cracked02b","crack","lava","16","33.9","9.7","4.2","33.8","34","33.8","DXT3","512x512","/env/lava/layers/lav_cracked02b_albedo.dds"
"rb_cracked","crack","red barrens","18","45.1","7.5","3.5","77","33.6","21","DXT1","512x512","/env/red barrens/layers/rb_cracked_albedo.dds"
"rb_cracked02","crack","red barrens","11","58.1","12.4","4.6","123.6","35.4","3.4","DXT5","512x512","/env/red barrens/layers/rb_cracked02_albedo.dds"
"cracked_cement_seamless_darker","crack","MAP-LOCAL","1","59.2","10.2","4.3","66.3","58.4","44.9","DXT1","1024x1024","/maps/a_new_dawn.v0003/env/layers/cracked_cement_seamless_darker.dds"
"cracked_cement_seamless_darker","crack","MAP-LOCAL","1","59.2","10.2","4.3","66.3","58.4","44.9","DXT1","1024x1024","/maps/crater_rocks.v0005/env/layers/cracked_cement_seamless_darker.dds"
"cryst013","crystal","crystalline","5","31.7","44.5","26.6","17.9","37.3","39.4","DXT3","512x512","/env/crystalline/layers/cryst013_albedo.dds"
"cryst010","crystal","crystalline","1","33.7","3.3","1.2","24","28.3","86.8","DXT1","512x512","/env/crystalline/layers/cryst010_albedo.dds"
"cr_07_01b_albedo3","crystal","MAP-LOCAL","1","37.9","33","19.8","52.4","25.4","64.6","DXT5","512x512","/maps/eonnacia.v0033/env/layers/cr_07_01b_albedo3.dds"
"cr_07_01b","crystal","MAP-LOCAL","1","40.9","37.6","22.3","40.7","34","77.3","DXT5","512x512","/maps/eonnacia.v0033/env/layers/cr_07_01b_albedo.dds"
"cr_01_01_albedo2","crystal","MAP-LOCAL","1","42.1","7.7","4.3","39.7","33.3","93.7","DXT5","512x512","/maps/eonnacia.v0033/env/layers/cr_01_01_albedo2.dds"
"cru_flat001","crystal","MAP-LOCAL","1","45.8","8.5","3.4","44.5","46.1","48","DXT3","512x512","/maps/rusting_iron_roundel.v0003/env/layers/cru_flat001_albedo.dds"
"cru_flat001","crystal","MAP-LOCAL","1","45.8","8.5","3.4","44.5","46.1","48","DXT3","512x512","/maps/the_crucible.v0004/env/layers/cru_flat001_albedo.dds"
"crystalwerk02","crystal","crystalline","1","46.8","18.1","14.8","46.2","47.4","45.1","DXT5","512x512","/env/crystalline/layers/crystalwerk02_albedo.dds"
"crystal_002_color_01","crystal","MAP-LOCAL","1","49.7","32.2","31.4","124.9","0.6","105","uncompressed","1024x1024","/maps/adaptive_crateria.v0011/env/layers/crystal_002_color_01.dds"
"crystalwerk02b_albedo_blue tint","crystal","MAP-LOCAL","1","49.9","22.2","17.8","43.3","46.6","83.9","DXT5","512x512","/maps/bluelands.v0002/env/layers/crystalwerk02b_albedo_blue tint.dds"
"cryst009","crystal","MAP-LOCAL","1","52.6","4.4","2","44.1","47.2","102.7","DXT5","512x512","/maps/eonnacia.v0033/env/layers/cryst009_albedo.dds"
"crystalwerk02b","crystal","crystalline","14","53.8","23.9","19.2","51.6","55.2","52.4","DXT3","512x512","/env/crystalline/layers/crystalwerk02b_albedo.dds"
"cru_rock001","crystal","MAP-LOCAL","1","54.7","22.6","14.6","54.5","54.9","54.5","DXT3","512x512","/maps/the_crucible.v0004/env/layers/cru_rock001_albedo.dds"
"cryst_rock01","crystal","crystalline","4","54.8","42.2","23.8","48.7","57.2","59","DXT3","512x512","/env/crystalline/layers/cryst_rock01_albedo.dds"
"cru_grayrock1","crystal","MAP-LOCAL","1","54.9","28.8","13.2","57.1","54","53.7","DXT3","512x512","/maps/rusting_iron_roundel.v0003/env/layers/cru_grayrock1.dds"
"cru_grayrock1","crystal","MAP-LOCAL","1","54.9","28.8","13.2","57.1","54","53.7","DXT3","512x512","/maps/the_crucible.v0004/env/layers/cru_grayrock1.dds"
"cryst011_albedo6","crystal","MAP-LOCAL","1","55.1","4.8","2.5","10.7","67.5","107.9","DXT5","512x512","/maps/eonnacia.v0033/env/layers/cryst011_albedo6.dds"
"cr_rock001","crystal","crystalline","6","55.9","38.4","23.2","45.8","60.6","58.3","DXT3","512x512","/env/crystalline/layers/cr_rock001_albedo.dds"
"crystalwerk02b_orange_tint","crystal","MAP-LOCAL","1","58.5","25.3","20.4","77.5","55.2","25.1","DXT5","512x512","/maps/forbidden_isles.v0004/env/layers/crystalwerk02b_orange_tint_albedo.dds"
"crystalwerk02b_orange_tint","crystal","MAP-LOCAL","1","58.5","25.3","20.4","77.5","55.2","25.1","DXT5","512x512","/maps/tiger_isle.v0006/env/layers/crystalwerk02b_orange_tint_albedo.dds"
"crystalwerk04","crystal","MAP-LOCAL","1","58.6","5.7","2.6","50.6","51.8","114.3","DXT5","512x512","/maps/eonnacia.v0033/env/layers/crystalwerk04_albedo.dds"
