"ScPath","ScStem","ScRole","UsedRole","Exact","Maps","Cc0","RemapR","RemapG","RemapB","Clamped","WantLuma","GotLuma"
"/env/lava/layers/lav_cracked02_albedo.dds","lav_cracked02","crack","crack","True","9","cc0_ground093c","0.0571","0.0523","0.0705","False","10.3","10.3"
"/env/lava/layers/lav_cracked_albedo.dds","lav_cracked","crack","crack","True","3","cc0_ground093c","0.0571","0.0524","0.0707","False","10.4","10.3"
"/env/lava/layers/lav_cracked02b_albedo.dds","lav_cracked02b","crack","crack","True","16","cc0_ground093c","0.0611","0.0646","0.0735","False","12","12"
"/env/red barrens/layers/rb_cracked_albedo.dds","rb_cracked","crack","crack","True","18","cc0_ground095a","0.2074","0.1019","0.07","False","16.2","16.2"
"/env/red barrens/layers/rb_cracked02_albedo.dds","rb_cracked02","crack","crack","True","11","cc0_ground048","0.5477","0.2002","0.03","True","21.1","21.1"
"/maps/a_new_dawn.v0003/env/layers/cracked_cement_seamless_darker.dds","cracked_cement_seamless_darker","crack","crack","True","1","cc0_ground093c","0.1198","0.111","0.0977","False","21","21"
"/maps/crater_rocks.v0005/env/layers/cracked_cement_seamless_darker.dds","cracked_cement_seamless_darker","crack","crack","True","1","cc0_ground093c","0.1198","0.111","0.0977","False","21","21"
"/env/crystalline/layers/cryst013_albedo.dds","cryst013","crystal","crystal","True","5","cc0_ice002","0.0681","0.1063","0.1126","False","11.1","11.1"
"/env/crystalline/layers/cryst010_albedo.dds","cryst010","crystal","crystal","True","1","cc0_ice003","0.1223","0.1117","0.3117","False","11.6","11.6"
"/maps/eonnacia.v0033/env/layers/cr_07_01b_albedo3.dds","cr_07_01b_albedo3","crystal","crystal","True","1","cc0_onyx006","0.165","0.0722","0.1683","False","13.4","13.4"
"/maps/eonnacia.v0033/env/layers/cr_07_01b_albedo.dds","cr_07_01b","crystal","crystal","True","1","cc0_ice003","0.2074","0.1342","0.2776","False","14.3","14.3"
"/maps/eonnacia.v0033/env/layers/cr_01_01_albedo2.dds","cr_01_01_albedo2","crystal","crystal","True","1","cc0_ice003","0.2023","0.1314","0.3365","False","14.7","14.7"
"/maps/rusting_iron_roundel.v0003/env/layers/cru_flat001_albedo.dds","cru_flat001","crystal","crystal","True","1","cc0_ice003","0.2268","0.1819","0.1724","False","16.1","16.1"
"/maps/the_crucible.v0004/env/layers/cru_flat001_albedo.dds","cru_flat001","crystal","crystal","True","1","cc0_ice003","0.2268","0.1819","0.1724","False","16.1","16.1"
"/env/crystalline/layers/crystalwerk02_albedo.dds","crystalwerk02","crystal","crystal","True","1","cc0_onyx006","0.1455","0.1348","0.1175","False","16.5","16.5"
"/maps/adaptive_crateria.v0011/env/layers/crystal_002_color_01.dds","crystal_002_color_01","crystal","crystal","True","1","cc0_onyx006","0.3933","0.03","0.2736","True","17.8","19.8"
"/maps/bluelands.v0002/env/layers/crystalwerk02b_albedo_blue tint.dds","crystalwerk02b_albedo_blue tint","crystal","crystal","True","1","cc0_ice003","0.2207","0.1839","0.3013","False","17.4","17.4"
"/maps/eonnacia.v0033/env/layers/cryst009_albedo.dds","cryst009","crystal","crystal","True","1","cc0_ice003","0.2248","0.1862","0.3688","False","18.3","18.3"
