id,mass,sizex,sizez
daa0206,300,1,1
dal0310,420,0.6,1.05
dea0202,420,1,1
del0204,200,0.6,0.5
dra0202,420,1,1
drl0204,200,0.75,0.85
opc1001,0,5,5
opc1002,158,0.45,0.9
opc2001,0,5,5
opc2002,52,0.6,0.6
opc5007,5,1,1
opc5008,5,1,1
ope2001,5,1,1
ope2002,5,1,1
ope2003,158,0.45,0.9
ope3001,1000,1,1
ope6001,0,5.5,2
ope6002,0,1.5,1.5
ope6003,158,0.5,0.5
ope6004,0,1,1
ope6005,0,5,5
ope6006,5,20,20
uaa0101,40,1,1
uaa0102,50,1,1
uaa0103,80,1,1
uaa0104,150,1,6
uaa0107,80,1,4
uaa0203,240,1,1
uaa0204,240,1,1
uaa0302,195,1,1
uaa0303,400,1,1
uaa0304,2100,1,1
uaa0310,45000,20,20
uab0101,240,5,5
uab0102,210,5,5
uab0103,300,12,14
uab0201,800,5,5
uab0202,630,5,5
uab0203,1170,12,14
uab0301,3150,5,5
uab0302,3150,5,5
uab0303,3150,12,14
uab0304,3000,7,7
uab1101,75,2,2
uab1102,160,3,3
uab1103,36,2,2
uab1104,100,2,2
uab1105,250,2,2
uab1106,200,1,1
uab1201,1200,3,3
uab1202,900,2,2
uab1301,3240,5,5
uab1302,4600,2,2
uab1303,3000,3,3
uab2101,250,1,1
uab2104,200,1,1
uab2108,700,1,1
uab2109,450,1,1
uab2204,560,2,2
uab2205,1080,2,2
uab2301,528,1,1
uab2302,91500,5,5
uab2303,2772,2,2
uab2304,800,2,2
uab2305,15000,3,3
uab3101,80,1,1
uab3102,64,1,1
uab3104,2400,1,1
uab3201,180,1,1
uab3202,120,1,1
uab4201,280,1,1
uab4202,480,3,3
uab4203,400,3,3
uab4301,2400,3,3
uab4302,7500,3,3
uab5101,2,1,1
uab5102,5,1,1
uab5103,5,1,1
uab5202,175,6,6
uab5204,0,1,1
uac1101,5,3,3
uac1201,5,3,3
uac1301,300,3,3
uac1401,150,5,5
uac1501,5,3,3
uac1901,5,5,5
uac1902,5,3,3
ual0001,18000,0.5,0.5
ual0101,8,0.4,0.4
ual0103,36,0.4,0.6
ual0104,28,0.18,0.45
ual0105,52,0.4,0.4
ual0106,35,0.3,0.3
ual0111,200,0.6,2
ual0201,52,0.5,0.7
ual0202,360,0.8,0.7
ual0205,160,0.55,0.65
ual0208,160,0.65,0.6
ual0301,8700,0.45,0.45
ual0303,840,0.85,0.85
ual0304,800,0.9,0.6
ual0307,144,0.55,0.55
ual0309,490,0.7,0.7
ual0401,27500,1.7,1.7
uas0102,120,2,6
uas0103,270,2,6
uas0201,2250,2,8
uas0202,2000,2,9
uas0203,360,2,3
uas0302,9000,5,16
uas0303,4000,5,17
uas0304,10000,2,5
uas0305,400,2,2
uas0401,28000,16,16
uea0001,160,1,1
uea0003,160,1,1
uea0101,40,1,1
uea0102,50,1,1
uea0103,80,1,1
uea0104,150,1,6
uea0107,80,1,4
uea0203,240,1,1
uea0204,240,1,1
uea0302,195,1,1
uea0303,400,1,1
uea0304,2100,1,1
